arr,value,id,account_id,source,closed_date,start_date,end_date,cancellation_date,original_end_date,number_of_licenses,type,industry
6000,6000,a1d0900000029OvAAI,0010900001cBNxMAAW,salesforce,2022-11-22,2022-11-22,2023-11-21,,2023-11-21,1,New Business,Agent
5000,5000,a1d09000000q89EAAQ,0010900001cBYrzAAG,salesforce,2023-08-01,2023-08-01,2024-07-31,,2024-07-31,1,New Business,Power developer
3000,3000,a1d090000002BRXAA2,0010900001cBZoWAAW,salesforce,2022-12-31,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Consultant
1800,1800,a1d090000002BSQAA2,0010900001cCkGdAAK,salesforce,2022-12-31,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Agent
3600,3600,a1d0900000029nRAAQ,0010900001cDjYFAA0,salesforce,2022-11-29,2022-11-29,2023-11-28,,2023-11-28,1,New Business,Residential developer
5000,5000,a1d090000002A8ZAAU,0010900001cDkzQAAS,salesforce,2022-12-05,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Property services company
540,540,a1d090000002H4LAAU,0010900001cDOW6AAO,salesforce,2023-02-27,2023-02-27,2024-02-26,,2024-02-26,1,New Business,Residential developer
2100,2100,a1d0900000029G3AAI,0010900001cDQICAA4,salesforce,2022-11-17,2022-11-28,2023-11-27,,2023-11-27,1,New Business,Residential developer
15000,15000,a1d090000002F2TAAU,0010900001cEMXGAA4,salesforce,2023-02-09,2023-02-09,2024-02-08,,2024-02-08,5,New Business,Power developer
3000,3000,a1d090000002EMGAA2,0010900001fV66XAAS,salesforce,2023-02-02,2023-02-06,2024-02-05,,2024-02-05,1,New Business,Power developer
4500,4500,a1d090000002A0QAAU,0010900001fV6srAAC,salesforce,2022-12-02,2022-12-02,2023-12-01,,2023-12-01,1,New Business,Agent
2500,2500,a1d090000002GkEAAU,0010900001fV8XPAA0,salesforce,2023-02-24,2023-02-24,2024-02-23,,2024-02-23,1,New Business,Residential developer
4250,4250,a1d090000002AgqAAE,0010900001fV9MhAAK,salesforce,2022-12-16,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Power developer
7800,7800,a1d090000002A0BAAU,0010900001fVj81AAC,salesforce,2022-12-02,2022-12-02,2023-12-01,,2023-12-01,2,New Business,Residential developer
3600,3600,a1d090000002AasAAE,0010900001fVLHxAAO,salesforce,2022-12-15,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Property services company
10000,20000,a1d090000002HC0AAM,0010900001fVXvYAAW,salesforce,2023-02-28,2023-02-28,2025-02-27,,2025-02-27,5,New Business,Power developer
9000,9000,a1d090000002AG9AAM,0010900001fWNlZAAW,salesforce,2022-12-07,2022-12-31,2023-01-31,2023-01-31,2023-12-30,3,New Business,Residential developer
2500,2500,a1d090000002AHgAAM,0010900001fWnvxAAC,salesforce,2022-12-08,2022-12-08,2023-12-07,,2023-12-07,1,New Business,Power developer
1560,1560,a1d090000002ALTAA2,0010900001fWR9dAAG,salesforce,2022-12-09,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Residential developer
2500,2500,a1d090000002AzOAAU,0010900001fWzZWAA0,salesforce,2022-12-22,2022-12-22,2023-12-21,,2023-12-21,1,New Business,Residential developer
540,540,a1d090000002ASFAA2,0010900001fXdQvAAK,salesforce,2022-12-12,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Residential developer
2500,2500,a1d090000002EECAA2,0010900001fY2keAAC,salesforce,2023-02-01,2023-02-01,2024-01-31,,2024-01-31,1,New Business,Residential developer
2500,2500,a1d090000002BjvAAE,0010900001fYD5wAAG,salesforce,2023-01-05,2023-01-05,2024-01-04,,2024-01-04,1,New Business,Asset Manager / Investor
4500,4500,a1d090000002Aq7AAE,0010900001fYEbJAAW,salesforce,2022-12-20,2022-12-31,2023-12-30,,2023-12-30,1,New Business,Consultant
