"id","account_id","closed_date_id","start_date_id","end_date_id","cancellation_date_id","original_end_date_id","source_id","type_id","industry_id","arr","value","number_of_licenses"
a1d1n00000ErZhIAAV,"0010Y00000u0G78QAE",20200428,20200428,20201024,20201024,20210427,1,1,10,6000.00,6000.00,1
a1d1n00000ErZXBAA3,"0010Y00000nP0mlQAC",20200514,20200516,20200616,20200616,20210615,1,1,10,8307.69,9000.00,2
a1d1n00000ErZcNAAV,"0010Y00000qijGXQAY",20190930,20190930,20200625,20200625,20201129,1,1,1,5142.86,6000.00,1
a1d1n00000ErZVCAA3,"0010Y00000rsQymQAE",20181011,20181030,20190924,20190924,20191029,1,1,10,7500.00,7500.00,2
a1d2o00000YNSMMAA5,"0010Y00000qijGXQAY",20210730,20210726,20211101,20211101,20220725,1,1,1,5000.00,5000.00,1
a1d1n00000D6qjCAAR,"0010Y00000xwNcqQAE",20200602,20200602,20210215,20210215,20210831,1,1,10,3600.00,4500.00,1
a1d2o00000Wc9aZAAR,"0010Y00000tzS39QAE",,20180218,20180618,20180618,20190218,1,1,1,3600.00,3600.00,1
a1d2o00000YZ14AAAT,"0010Y00000u10UEQAY",20211005,20211005,20220831,20220831,20221004,1,1,2,5000.00,5000.00,1
a1d1n00000ErZayAAF,"0010Y00000sGpJGQA0",20200228,20200319,20200522,20200522,20210318,1,1,9,5000.00,5000.00,1
a1d2o00000YMwMHAA1,"0010Y00000sGlTVQA0",20210729,20210809,20220526,20220526,20220808,1,1,10,6000.00,6000.00,1
a1d1n00000ErZckAAF,"0010Y00000YEiV5QAL",20190530,20190531,20190913,20190913,20200530,1,1,9,5280.00,5280.00,1
a1d09000000pvtUAAQ,"00109000022IA0NAAW",20230609,20230609,20230727,20230727,20240608,1,1,10,540.00,540.00,1
a1d1n00000ErZh0AAF,"0010Y00000nP0qEQAS",20190313,20190313,20190916,20190916,20200312,1,1,10,6000.00,6000.00,1
a1d1n00000ErZfNAAV,"0010Y00000xgec3QAA",20200113,20200113,20200403,20200403,20210114,1,1,9,6000.00,6000.00,1
a1d1n00000ErZGFAA3,"0010Y00000rjbMWQAY",20171024,20171024,20181024,20181024,20181023,1,1,7,4500.00,4500.00,1
a1d1n00000ErZFpAAN,"0010Y00000WbSuzQAF",20170809,20170904,20170904,20170904,20180903,1,1,1,3800.00,3800.00,1
a1d1n00000ErZW2AAN,"0010Y00000t2MCzQAM",20190731,20190731,20191230,20191230,20200731,1,1,9,4000.00,4000.00,1
a1d1n00000ErZNxAAN,"0010Y00000nP0hfQAC",20180508,20180508,20190318,20190318,20190507,1,1,10,5400.00,5400.00,2
a1d7U000000PCRYQA4,"0010Y00000nOyGiQAK",20220119,20220201,20220414,20220414,20230131,1,1,1,4500.00,4500.00,1
a1d1n00000ErZdrAAF,"0010Y00000w8EZnQAM",20191113,20191117,20200430,20200430,20201116,1,1,10,5500.00,5500.00,1
a1d1n00000ErZGiAAN,"0010Y00000qh3b3QAA",20171120,20171027,20181126,20181126,20181027,1,1,6,5000.00,5000.00,1
a1d1n00000ErZahAAF,"0010Y00000nP0fjQAC",20190328,20190328,20190501,20190501,20200327,1,1,2,5000.00,5000.00,1
a1d7U000000QvmzQAC,"0010Y00000w4qUlQAI",20220922,20221018,20230626,20230626,20231017,1,1,4,6000.00,6000.00,1
a1d7U000000PRsoQAG,"0010Y00000tzOYfQAM",20220301,20220301,20220601,20220601,20230228,1,1,9,5400.00,5400.00,1
a1d1n00000ErZJEAA3,"0010Y00000nP0qsQAC",20200428,20200428,20200428,20200428,20210428,1,1,10,1800.00,1800.00,1
